16
690
hipId	longHour	longMinute	longSec	long	latDeg	latMinute	latSec	lat	magnitude	stellarParallax	longProperMotion	latProperMotion	bvColorIndex	viColorIndex	spectralClassification
int	int	int	float	float	int	int	float	float	float	float	float	float	float	float	string
677	0	8	23.17	2.0965416666666665	29	5	27	29.090833333333332	2.0699999999999998	33.6	135.68	-162.94999999999999	-3.7999999999999999E-2	-0.1	B9p
746	0	9	10.09	2.2920416666666665	59	9	0.8	59.150222222222219	2.2799999999999998	59.89	523.39	-180.42	0.38	0.4	F2III-IV
765	0	9	24.54	2.3522499999999997	-45	44	49.2	-45.747	3.88	23.28	122.15	-180.13	1.0129999999999999	1	K0III
1067	0	13	14.15	3.3089583333333334	15	11	1	15.183611111111111	2.83	9.7899999999999991	4.7	-8.24	-0.19	-0.22	B2IV
1562	0	19	25.68	4.8569999999999993	-8	49	25.8	-8.823833333333333	3.56	11.26	-14.37	-37.840000000000003	1.214	1.1299999999999999	K2III
1599	0	20	1.91	5.0079583333333328	-64	52	39.4	-64.877611111111108	4.2300000000000004	116.38	1707.56	1165.3599999999999	0.57599999999999996	0.65	F9V
1645	0	20	35.86	5.1494166666666663	8	11	24.9	8.1902500000000007	5.38	8.26	-4.5	9.59	1.343	1.28	K3III
2021	0	25	39.200000000000003	6.413333333333334	-77	15	18.100000000000001	-77.255027777777784	2.82	133.78	2220.12	324.37	0.61799999999999999	0.68	G2IV
2072	0	26	12.12	6.5505000000000004	-43	40	47.7	-43.679916666666664	3.93	42.51	106.14	32.83	0.17499999999999999	0.2	A7V
2081	0	26	16.87	6.5702916666666669	-42	18	18.399999999999999	-42.30511111111111	2.4	42.14	232.76	-353.64	1.083	1.1100000000000001	K0III...
2484	0	31	32.56	7.8856666666666673	-62	57	29.1	-62.958083333333335	4.3600000000000003	23.35	82.48	-54.37	-6.4000000000000001E-2	-0.02	B9V
3092	0	39	19.600000000000001	9.831666666666667	30	51	40.4	30.861222222222224	3.27	32.19	115.38	-83.05	1.268	1.23	K3III...
3179	0	40	30.39	10.126624999999999	56	32	14.7	56.537416666666665	2.2400000000000002	14.27	50.36	-32.17	1.17	1.1299999999999999	K0II-IIIvar
3419	0	43	35.229999999999997	10.896791666666667	-17	59	12.1	-17.986694444444446	2.04	34.04	232.79	32.71	1.0189999999999999	1	K0III
3760	0	48	17.34	12.07225	7	17	59.7	7.2999166666666664	5.92	4.93	111.61	3.41	1.1040000000000001	1.07	G8III
3881	0	49	48.83	12.453458333333334	41	4	44.2	41.078944444444446	4.53	4.8	22.68	-18.05	-0.13600000000000001	-0.14000000000000001	B5V SB
4427	0	56	42.5	14.177083333333332	60	43	0.3	60.716750000000005	2.15	5.32	25.65	-3.82	-4.5999999999999999E-2	-0.02	B0IV:evar
4436	0	56	45.1	14.187916666666668	38	29	57.3	38.499250000000004	3.86	23.93	152.78	36.82	0.13	0.14000000000000001	A5V
4577	0	58	36.35	14.651458333333332	-29	21	26.9	-29.357472222222224	4.3	4.8499999999999996	22.44	6.3	-0.154	-0.12	B7IIIp
4889	1	2	49.09	15.704541666666669	31	48	15.6	31.804333333333336	5.5	7.87	15.53	-30.38	-4.2999999999999997E-2	-0.02	B9.5V
4906	1	2	56.66	15.736083333333337	7	53	24.3	7.8900833333333331	4.2699999999999996	17.14	-80.569999999999993	25.88	0.95199999999999996	0.98	K0III
5165	1	6	5.1100000000000003	16.521291666666666	-46	43	6.6	-46.718499999999999	3.32	16.46	-70.16	31.6	0.88500000000000001	0.9	G8IIIvar
5348	1	8	23.06	17.096083333333333	-55	14	45	-55.245833333333337	3.94	11.66	21.17	29.7	-0.12	-0.08	B6V + B0V
5364	1	8	35.26	17.146916666666666	-10	10	54.9	-10.181916666666666	3.46	27.73	215.81	-138.33000000000001	1.161	1.1100000000000001	K2III
5447	1	9	43.8	17.432499999999997	35	37	15	35.620833333333337	2.0699999999999998	16.36	175.59	-112.23	1.5760000000000001	1.74	M0IIIvar
5742	1	13	44.94	18.437250000000002	24	35	1.6	24.583777777777776	4.67	8.64	18.579999999999998	-21.26	1.0469999999999999	1.02	K0III...
6193	1	19	27.98	19.866583333333335	27	15	50.7	27.264083333333332	4.74	10.49	26.21	-11.62	3.2000000000000001E-2	0.1	A3V
6537	1	24	1.45	21.006041666666665	-8	10	57.9	-8.1827499999999986	3.6	28.48	-78.38	-206.88	1.0649999999999999	1.05	K0III
6686	1	25	48.6	21.452500000000001	60	14	7.5	60.235416666666666	2.66	32.81	297.24	-49.49	0.16	0.19	A5Vv SB
6867	1	28	21.94	22.091416666666667	-43	19	3.8	-43.317722222222223	3.41	13.94	-18.21	-207.71	1.542	1.73	K5II-III
7007	1	30	10.94	22.545583333333333	6	8	38.200000000000003	6.1439444444444451	4.84	9.0500000000000007	293.23	-46.36	1.3720000000000001	1.42	K4III
